2789	continual relation extraction
2575	learning commonsense knowledge
3564	image features
1535	statistical part of speech tagging
2192	chinese relation extraction
1195	dual recurrent neural network
968	pruning method
1384	polish evaluation dataset
521	improve summarization system
1496	predicting syntactic traits of a word
1229	neural word
737	trained language model plms
1701	entity-centric neural architecture
2195	the ibm models
2676	machine translation technique
3460	rumor detection models
784	entailment
240	adversarial\n(pre-trained language models
1011	meta-learner
3200	effectiveness
3251	human evaluation
1784	sentence compression models
2718	latent representations
2554	rnngs
2855	oonp parser
2260	recurrent character-based representation
1055	fact checked claim
1157	cross-lingual coreference
841	relation learning
1307	comparing candidates’ positions
957	semantic retrieval
3087	generating natural language explanations
3314	fine-grained entity categorization
2080	neural open ie
2526	semantic bias
705	compositional generalization semantic parsing
2265	reward augmented maximum likelihood
3301	acquiring commonsense knowledge from text
1132	human language acquisition
1823	statistical methods
3132	end-to-end goal-oriented visual dialogue system
3143	tracking unknown slot values
1129	semantic graph generation
442	arabic nlp
2609	identifying aspects
3276	negation function
309	loss function
3282	mutual-information-based decoding
671	learning word embedding
2368	kb-infobot
1743	syntactic analogy tasks
948	confidence
2023	semantic frame induction
709	tbo
1260	semantic decoding
979	question decomposer
2914	tracking module
3264	zero-shot entity linking
1665	chunk based translation
1296	n-gram model
932	predict sentiment polarities
3490	goal-oriented dialogue systems
1652	inferential machine comprehension
1155	textflow
56	reading comprehension
1416	semantic textual similarity tasks
2399	query representation
2189	compositor attribution
854	morph-based auto-completion
2499	measuring word similarity
760	gated tanh-relu units
1503	informed search
2532	mixture of attentive experts model
3341	bilingual corpus
1509	deep recurrent neural networks
3471	rationale generator
2039	particle filter
125	morphological analysis
1182	stance polarity prediction
1951	dialogue generation model
2489	personalized dialogue agents
3043	direct hmm
1644	k means
2645	answering questions from multiple documents
213	unsupervised discourse dependency parsing
986	decoding sentences
2941	debate
1441	disease identification
2397	embeddings
2751	max-pooling operation
908	annotation workflow
1789	context sensitive grammar
3355	zero-shot-cot
3171	traditional approaches in an unsupervised setting
2028	training multilingual models
1473	stanford question answering dataset
3438	word vector collection quality
2683	coherence and natural response
3283	classifying sentiment polarities over individual opinion targets
797	story dataset
2587	neural network model
2198	treebank vector prediction
2762	mention detection md
2793	generation systems
288	representation learning
1720	human bandit feedback
1864	span extraction
2909	referring expressions
1393	reasoning ability
622	hierarchical lstm with caching
1358	event factuality prediction
266	improved performance
139	dynamic-tree monte-carlo search algorithm
363	relation extraction method
1479	objective function
235	tree-adjoining grammars
1377	sequence-to-sequence learning
857	latent document-topic features
3255	dynamic contextualized word embeddings
3177	thesis strength
1677	openbookqa
1090	word distribution
1957	distant supervised learning
1525	automatic pun generation
2162	divergence between entity pairs distributions
792	hate speech detection model
6	cta transcript parsing
2690	event commonsense evaluation
1207	entity relation extraction
827	entity extraction
2436	token\nempty g1.evaluation of text classification\n(word sense disambiguation
2410	language understanding ability
1130	detect racist language
