input_dict,ground_truth,natural question,natural answer
"domain_1: Natural Language Processing
concept_1: neural networks
concept_2: training neural networks","neural networks
training neural networks","In the domain of Natural Language Processing, I know about the concept of neural networks, now I want to learn about the concept of training neural networks, what concept path should I follow?",neural networks;training neural networks
"domain_1: Natural Language Processing
concept_1: optimization
concept_2: neural language modeling","optimization
machine learning resources
semi-supervised learning
neural networks
neural language modeling","In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of neural language modeling, what concept path should I follow?",optimization;machine learning resources;semi-supervised learning;neural networks;neural language modeling
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: query expansion","linguistics basics
morphology and lexicon
query expansion","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of query expansion, what concept path should I follow?",linguistics basics;morphology and lexicon;query expansion
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: tsne","natural language processing intro
vector representations
structured learning
vector semantics
tsne","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of tsne, what concept path should I follow?",natural language processing intro;vector representations;structured learning;vector semantics;tsne
"domain_1: Natural Language Processing
concept_1: Unsupervised learning
concept_2: k means","Unsupervised learning
k means","In the domain of Natural Language Processing, I know about the concept of Unsupervised learning, now I want to learn about the concept of k means, what concept path should I follow?",Unsupervised learning;k means
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: kernels","natural language processing intro
vector representations
structured learning
vector semantics
kernels","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of kernels, what concept path should I follow?",natural language processing intro;vector representations;structured learning;vector semantics;kernels
"domain_1: Natural Language Processing
concept_1: information retrieval
concept_2: social network extraction","information retrieval
toolkits for information retrieval
information extraction
social network extraction","In the domain of Natural Language Processing, I know about the concept of information retrieval, now I want to learn about the concept of social network extraction, what concept path should I follow?",information retrieval;toolkits for information retrieval;information extraction;social network extraction
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: grammar checker","natural language processing intro
chinese nlp
grammar checker","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of grammar checker, what concept path should I follow?",natural language processing intro;chinese nlp;grammar checker
"domain_1: Natural Language Processing
concept_1: heuristic search
concept_2: a* search","heuristic search
a* search","In the domain of Natural Language Processing, I know about the concept of heuristic search, now I want to learn about the concept of a* search, what concept path should I follow?",heuristic search;a* search
"domain_1: Natural Language Processing
concept_1: structured learning
concept_2: word sense disambiguation","structured learning
word distributions
vector representations
word embedding
word embedding variations
word sense disambiguation","In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of word sense disambiguation, what concept path should I follow?",structured learning;word distributions;vector representations;word embedding;word embedding variations;word sense disambiguation
"domain_1: Natural Language Processing
concept_1: computer vision
concept_2: nlp and vision","computer vision
nlp and vision","In the domain of Natural Language Processing, I know about the concept of computer vision, now I want to learn about the concept of nlp and vision, what concept path should I follow?",computer vision;nlp and vision
"domain_1: Natural Language Processing
concept_1: bilingual word embeddings
concept_2: unsupervised machine translation","bilingual word embeddings
monolingual word embeddings
unsupervised machine translation","In the domain of Natural Language Processing, I know about the concept of bilingual word embeddings, now I want to learn about the concept of unsupervised machine translation, what concept path should I follow?",bilingual word embeddings;monolingual word embeddings;unsupervised machine translation
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: prosody","linguistics basics
prosody","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of prosody, what concept path should I follow?",linguistics basics;prosody
"domain_1: Natural Language Processing
concept_1: syntax
concept_2: first-order logic","syntax
penn treebank
first-order logic","In the domain of Natural Language Processing, I know about the concept of syntax, now I want to learn about the concept of first-order logic, what concept path should I follow?",syntax;penn treebank;first-order logic
"domain_1: Natural Language Processing
concept_1: penn treebank
concept_2: first-order logic","penn treebank
first-order logic","In the domain of Natural Language Processing, I know about the concept of penn treebank, now I want to learn about the concept of first-order logic, what concept path should I follow?",penn treebank;first-order logic
"domain_1: Natural Language Processing
concept_1: word embedding
concept_2: multilingual word embedding","word embedding
word embedding variations
multilingual word embedding","In the domain of Natural Language Processing, I know about the concept of word embedding, now I want to learn about the concept of multilingual word embedding, what concept path should I follow?",word embedding;word embedding variations;multilingual word embedding
"domain_1: Natural Language Processing
concept_1: probabilities
concept_2: language modeling","probabilities
structured learning
word distributions
language modeling","In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of language modeling, what concept path should I follow?",probabilities;structured learning;word distributions;language modeling
"domain_1: Natural Language Processing
concept_1: Unsupervised learning
concept_2: neural parsing","Unsupervised learning
neural networks
neural parsing","In the domain of Natural Language Processing, I know about the concept of Unsupervised learning, now I want to learn about the concept of neural parsing, what concept path should I follow?",Unsupervised learning;neural networks;neural parsing
"domain_1: Natural Language Processing
concept_1: random walks and harmonic functions
concept_2: semi-supervised learning","random walks and harmonic functions
semi-supervised learning","In the domain of Natural Language Processing, I know about the concept of random walks and harmonic functions, now I want to learn about the concept of semi-supervised learning, what concept path should I follow?",random walks and harmonic functions;semi-supervised learning
"domain_1: Natural Language Processing
concept_1: semi-supervised learning
concept_2: convolutional neural networks","semi-supervised learning
neural networks
convolutional neural networks","In the domain of Natural Language Processing, I know about the concept of semi-supervised learning, now I want to learn about the concept of convolutional neural networks, what concept path should I follow?",semi-supervised learning;neural networks;convolutional neural networks
"domain_1: Natural Language Processing
concept_1: semi-supervised learning
concept_2: recursive neural networks","semi-supervised learning
neural networks
training neural networks
recursive neural networks","In the domain of Natural Language Processing, I know about the concept of semi-supervised learning, now I want to learn about the concept of recursive neural networks, what concept path should I follow?",semi-supervised learning;neural networks;training neural networks;recursive neural networks
"domain_1: Natural Language Processing
concept_1: probabilities
concept_2: variational bayes models","probabilities
variational bayes models","In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of variational bayes models, what concept path should I follow?",probabilities;variational bayes models
"domain_1: Natural Language Processing
concept_1: optimization
concept_2: memory networks","optimization
memory networks","In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of memory networks, what concept path should I follow?",optimization;memory networks
"domain_1: Natural Language Processing
concept_1: semi-supervised learning
concept_2: recursive neural networks","semi-supervised learning
neural networks
training neural networks
recursive neural networks","In the domain of Natural Language Processing, I know about the concept of semi-supervised learning, now I want to learn about the concept of recursive neural networks, what concept path should I follow?",semi-supervised learning;neural networks;training neural networks;recursive neural networks
"domain_1: Natural Language Processing
concept_1: search
concept_2: expert systems","search
logic and logical agents
expert systems","In the domain of Natural Language Processing, I know about the concept of search, now I want to learn about the concept of expert systems, what concept path should I follow?",search;logic and logical agents;expert systems
